Ticker,FX
HLMA.L,GBP=X
HMSO.L,GBP=X
HNR1.DE,EUR=X
HL.L,GBP=X
HAS.L,GBP=X
HEI.DE,EUR=X
HEIA.AS,EUR=X
HEIO.AS,EUR=X
HLE.DE,EUR=X
HELN.SW,CHF=X
HEN3.DE,EUR=X
HM-B.ST,SEK=X
RMS.PA,EUR=X
HEXA-B.ST,SEK=X
HPOL-B.ST,SEK=X
HSX.L,GBP=X
HOT.DE,EUR=X
XHSA.DU,GBP=X
HWDN.L,GBP=X
HSBA.L,GBP=X
BOSS.DE,EUR=X
HRH1V.HE,EUR=X
HUSQ-B.ST,SEK=X
IAG.L,GBP=X
IBE.MC,EUR=X
ICA.ST,SEK=X
ICAD.PA,EUR=X
IGG.L,GBP=X
ILD.PA,EUR=X
IMCD.AS,EUR=X
NK.PA,EUR=X
IMI.L,GBP=X
IMB.L,GBP=X
INCH.L,GBP=X
INDV.L,GBP=X
IDEXY,EUR=X
INDU-A.ST,SEK=X
IFX.DE,EUR=X
INF.L,GBP=X
INGA.AS,EUR=X
ING.PA,EUR=X
ISAT.L,GBP=X
COL.MC,EUR=X
IGY.DE,EUR=X
IHG.L,GBP=X
ICP.L,GBP=X
ITRK.L,GBP=X
ISP.MI,EUR=X
INTU.L,GBP=X
IYYA.BE,GBP=X
INVE-B.ST,SEK=X
IPN.PA,EUR=X
ISS.CO,DKK=X
IG.MI,EUR=X
ITV.L,GBP=X
IWG.L,GBP=X
DEC.PA,EUR=X
JMT.LS,EUR=X
JMT1.BE,GBP=X
BAER.VX,CHF=X
JUP.L,GBP=X
JE.L,GBP=X
JYS1.BE,DKK=X
SDF.DE,EUR=X
KAZ.L,GBP=X
KBC.BR,EUR=X
PPX.SG,EUR=X
KRZ.IR,EUR=X
KESKOB.HE,EUR=X
KIND-SDB.ST,SEK=X
KGF.L,GBP=X
KRX.IR,EUR=X
KINV-B.ST,SEK=X
KGX.HA,EUR=X
LI.PA,EUR=X
KONN.F,EUR=X
KNEBV.HE,EUR=X
KCR.HE,EUR=X
DSM.AS,EUR=X
KPN.AS,EUR=X
KNIN.VX,CHF=X
ORN.MX,EUR=X
LHN.VX,CHF=X
MMB.PA,EUR=X
LAND.L,GBP=X
LXS.SW,EUR=X
LEG.DE,EUR=X
LGEN.L,GBP=X
LR.PA,EUR=X
LDO.MI,EUR=X
LIN.DE,EUR=X
LISN.SW,CHF=X
LLOYL.L,GBP=X
LOGN.VX,CHF=X
LSE.L,GBP=X
LONN.VX,CHF=X
LOOM-B.ST,SEK=X
LHA.DE,EUR=X
LUND-B.ST,SEK=X
LUPE.ST,SEK=X
LUX.MI,EUR=X
MA.PA,EUR=X
MAN.DE,EUR=X
EMG.L,GBP=X
MAP.MC,EUR=X
MHG.OL,NOK=X
MKS.L,GBP=X
MDC.L,GBP=X
MB.MI,EUR=X
MGGT.L,GBP=X
MRO.L,GBP=X
MRK.F,EUR=X
MERL.L,GBP=X
MRL.MC,EUR=X
MTAGF,EUR=X
MTRO.L,GBP=X
VLM.MU,EUR=X
ML.PA,EUR=X
MCRO.L,GBP=X
MONC.MI,EUR=X
MNDI.L,GBP=X
MONY.L,GBP=X
MOR.DE,EUR=X
MRW.L,GBP=X
MTX.DE,EUR=X
